	sentence	inference	model	label
295	If children don't join the climate strike, their schools are underachieving | David Reed	"The writer is implying that children should join the climate strike
"	t5_base	real
296	If children don't join the climate strike, their schools are underachieving | David Reed	"The writer is implying that schools are underperforming due to climate change
"	t5_large	real
297	Why You Don't Need to Panic About the New Coronavirus	"The writer is implying that covid-19 isn't as bad as we thought
"	gpt2_large	real
298	Why You Don't Need to Panic About the New Coronavirus	"The writer is implying that people shouldn't panic about covid
"	t5_base	real
299	Why You Don't Need to Panic About the New Coronavirus	"The writer is implying that covid isn't that bad
"	t5_large	real
300	Billie Eilish Sounds Alarm on Climate Change and Trump: 'Vote the Orange Man Out'	"The writer is implying that the orange man is a climate change denier
"	gpt2_large	misinfo
301	Billie Eilish Sounds Alarm on Climate Change and Trump: 'Vote the Orange Man Out'	"The writer is implying that billie eilish is alarming about climate change and trump
"	t5_base	misinfo
302	Billie Eilish Sounds Alarm on Climate Change and Trump: 'Vote the Orange Man Out'	"The writer is implying that not all government officials are on the same page
"	t5_large	misinfo
303	Bill Gates, climate change alarmist, buys $43 million mansion right off the ocean	"The writer is implying that bill gates is an alarmist
"	gpt2_large	misinfo
304	Bill Gates, climate change alarmist, buys $43 million mansion right off the ocean	"The writer is implying that bill gates is a climate change denier
"	t5_base	misinfo
305	Bill Gates, climate change alarmist, buys $43 million mansion right off the ocean	"The writer is implying that bill gates bought a mansion off the ocean
"	t5_large	misinfo
306	Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian city's response to the coronavirus pandemic.	"The writer is implying that the government is trying to control people
"	gpt2_large	misinfo
307	Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian city's response to the coronavirus pandemic.	"The writer is implying that holy communion is banned in canada due to covid
"	t5_base	misinfo
308	Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian city's response to the coronavirus pandemic.	"The writer is implying that holy communion has been banned in toronto due to covid
"	t5_large	misinfo
309	Watch: Alex Epstein interviews Dr. Caleb Rossiter about the campaign to silence climate debate on Facebook	"The writer is implying that social media is censoring a climate change debate
"	gpt2_large	misinfo
310	Watch: Alex Epstein interviews Dr. Caleb Rossiter about the campaign to silence climate debate on Facebook	"The writer is implying that the climate change debate is being silenced on facebook
"	t5_base	misinfo
311	Watch: Alex Epstein interviews Dr. Caleb Rossiter about the campaign to silence climate debate on Facebook	"The writer is implying that climate change is being silenced on facebook
"	t5_large	misinfo
312	"For several days, an article by a Spanish organization in which COVID-19 is an ""exosome influenced by electromagnetic pollution"" has been circulating on social media and WhatsApp."	"The writer is implying that covid is transmitted through electromagnetic waves
"	gpt2_large	misinfo
313	"For several days, an article by a Spanish organization in which COVID-19 is an ""exosome influenced by electromagnetic pollution"" has been circulating on social media and WhatsApp."	"The writer is implying that covid is a hoax
"	t5_base	misinfo
314	"For several days, an article by a Spanish organization in which COVID-19 is an ""exosome influenced by electromagnetic pollution"" has been circulating on social media and WhatsApp."	"The writer is implying that covid is caused by electromagnetic pollution
"	t5_large	misinfo
