	sentence	inference	model	label
25	This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation	"The writer is implying that a lab wants to prepare the electric grid for a climate change transformation
"	t5_base	real
26	This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation	"The writer is implying that the grid will be prepared for a climate change
"	t5_large	real
27	Mining Giant Glencore Turns From Coal to Climate-Friendly Assets	"The writer is implying that a mining company is turning away from coal
"	gpt2_large	real
28	Mining Giant Glencore Turns From Coal to Climate-Friendly Assets	"The writer is implying that glencore cares about climate change
"	t5_base	real
29	Mining Giant Glencore Turns From Coal to Climate-Friendly Assets	"The writer is implying that mining giant glencore cares about climate change
"	t5_large	real
30	COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate	"The writer is implying that masks are important
"	gpt2_large	real
31	COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate	"The writer is implying that covid-19, masks, and the aca are important
"	t5_base	real
32	COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate	"The writer is implying that masks can help prevent covid
"	t5_large	real
33	Siberian scientists plan to resume air studies of Arctic climate	"The writer is implying that scientists are going back to work
"	gpt2_large	real
34	Siberian scientists plan to resume air studies of Arctic climate	"The writer is implying that siberian scientists are interested in climate change
"	t5_base	real
35	Siberian scientists plan to resume air studies of Arctic climate	"The writer is implying that siberian scientists plan to resume air studies of arctic climate
"	t5_large	real
36	Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn	"The writer is implying that the government needs to plant more trees
"	gpt2_large	real
37	Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn	"The writer is implying that uk needs to plant more trees to meet climate targets
"	t5_base	real
38	Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn	"The writer is implying that the uk needs to plant more trees to fight climate change
"	t5_large	real
39	"Novel COVID-19 survey takes nation's social, mental ""Pulse"""	"The writer is implying that covid statistics are being taken seriously
"	gpt2_large	real
40	"Novel COVID-19 survey takes nation's social, mental ""Pulse"""	"The writer is implying that the pandemic is affecting society negatively
"	t5_base	real
41	"Novel COVID-19 survey takes nation's social, mental ""Pulse"""	"The writer is implying that society's mental health is being affected by covid
"	t5_large	real
42	New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism	"The writer is implying that new zealand is concerned about climate change
"	gpt2_large	real
43	New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism	"The writer is implying that new zealand wants people to take action on climate change
"	t5_base	real
44	New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism	"The writer is implying that new zealand cares about the environment
"	t5_large	real
